# Wavelength(microns)  (Rp/Rs)^2  Error
4.847546e+01 2.197993e-02 1.482563e-01
4.847223e+01 2.194957e-02 1.481539e-01
4.846900e+01 2.193272e-02 1.480970e-01
4.846577e+01 2.193475e-02 1.481039e-01
4.846254e+01 2.198222e-02 1.482640e-01
4.845931e+01 2.259803e-02 1.503264e-01
4.845607e+01 2.269236e-02 1.506398e-01
4.845284e+01 2.218483e-02 1.489457e-01
4.844961e+01 2.191834e-02 1.480485e-01
4.844638e+01 2.235239e-02 1.495072e-01
4.844316e+01 2.266594e-02 1.505521e-01
4.843993e+01 2.279150e-02 1.509686e-01
4.843670e+01 2.251139e-02 1.500379e-01
4.843347e+01 2.191508e-02 1.480374e-01
4.843024e+01 2.230315e-02 1.493424e-01
4.842701e+01 2.251661e-02 1.500554e-01
4.842378e+01 2.217575e-02 1.489152e-01
4.842055e+01 2.200544e-02 1.483423e-01
4.841733e+01 2.225223e-02 1.491718e-01
4.841410e+01 2.233588e-02 1.494519e-01
4.841087e+01 2.216670e-02 1.488849e-01
4.840764e+01 2.227190e-02 1.492377e-01
4.840442e+01 2.214987e-02 1.488283e-01
4.840119e+01 2.201376e-02 1.483704e-01
4.839796e+01 2.192741e-02 1.480791e-01
4.839474e+01 2.189912e-02 1.479835e-01
4.839151e+01 2.279947e-02 1.509949e-01
4.838829e+01 2.286457e-02 1.512103e-01
4.838506e+01 2.234642e-02 1.494872e-01
4.838183e+01 2.219973e-02 1.489957e-01
4.837861e+01 2.213612e-02 1.487821e-01
4.837538e+01 2.212916e-02 1.487587e-01
4.837216e+01 2.190923e-02 1.480177e-01
4.836894e+01 2.199995e-02 1.483238e-01
4.836571e+01 2.250682e-02 1.500227e-01
4.836249e+01 2.252614e-02 1.500871e-01
4.835926e+01 2.244062e-02 1.498019e-01
4.835604e+01 2.220597e-02 1.490167e-01
4.835282e+01 2.183271e-02 1.477590e-01
4.834959e+01 2.185840e-02 1.478459e-01
4.834637e+01 2.228557e-02 1.492835e-01
4.834315e+01 2.244504e-02 1.498167e-01
4.833992e+01 2.240620e-02 1.496870e-01
4.833670e+01 2.226169e-02 1.492035e-01
4.833348e+01 2.215912e-02 1.488594e-01
4.833026e+01 2.201434e-02 1.483723e-01
4.832703e+01 2.200935e-02 1.483555e-01
4.832381e+01 2.261266e-02 1.503751e-01
4.832059e+01 2.282213e-02 1.510699e-01
4.831737e+01 2.303445e-02 1.517710e-01
4.831415e+01 2.281084e-02 1.510326e-01
4.831093e+01 2.256152e-02 1.502049e-01
4.830771e+01 2.241599e-02 1.497197e-01
4.830449e+01 2.237040e-02 1.495674e-01
4.830127e+01 2.229926e-02 1.493294e-01
4.829805e+01 2.214447e-02 1.488102e-01
4.829483e+01 2.200568e-02 1.483431e-01
4.829161e+01 2.205653e-02 1.485144e-01
4.828839e+01 2.197781e-02 1.482491e-01
4.828517e+01 2.189282e-02 1.479622e-01
4.828195e+01 2.184465e-02 1.477994e-01
4.827873e+01 2.184502e-02 1.478006e-01
4.827552e+01 2.180961e-02 1.476808e-01
4.827230e+01 2.180922e-02 1.476794e-01
4.826908e+01 2.181424e-02 1.476964e-01
4.826586e+01 2.182453e-02 1.477313e-01
4.826264e+01 2.192113e-02 1.480579e-01
4.825943e+01 2.195157e-02 1.481606e-01
4.825621e+01 2.200277e-02 1.483333e-01
4.825299e+01 2.200200e-02 1.483307e-01
4.824978e+01 2.207434e-02 1.485744e-01
4.824656e+01 2.245850e-02 1.498616e-01
4.824334e+01 2.245431e-02 1.498476e-01
4.824013e+01 2.239539e-02 1.496509e-01
4.823691e+01 2.209267e-02 1.486360e-01
4.823370e+01 2.195650e-02 1.481773e-01
4.823048e+01 2.183410e-02 1.477637e-01
4.822727e+01 2.181194e-02 1.476886e-01
4.822405e+01 2.178346e-02 1.475922e-01
4.822084e+01 2.177771e-02 1.475727e-01
4.821762e+01 2.179208e-02 1.476214e-01
4.821441e+01 2.182692e-02 1.477394e-01
4.821119e+01 2.228394e-02 1.492781e-01
4.820798e+01 2.215417e-02 1.488428e-01
4.820477e+01 2.237505e-02 1.495829e-01
4.820155e+01 2.236225e-02 1.495401e-01
4.819834e+01 2.229600e-02 1.493185e-01
4.819513e+01 2.230903e-02 1.493621e-01
4.819191e+01 2.218120e-02 1.489335e-01
4.818870e+01 2.213834e-02 1.487896e-01
4.818549e+01 2.212049e-02 1.487296e-01
4.818228e+01 2.211948e-02 1.487262e-01
4.817906e+01 2.206375e-02 1.485387e-01
4.817585e+01 2.192470e-02 1.480699e-01
4.817264e+01 2.212896e-02 1.487581e-01
4.816943e+01 2.213775e-02 1.487876e-01
4.816622e+01 2.214262e-02 1.488040e-01
4.816301e+01 2.213156e-02 1.487668e-01
4.815980e+01 2.188739e-02 1.479439e-01
4.815659e+01 2.188071e-02 1.479213e-01
4.815338e+01 2.201939e-02 1.483893e-01
4.815017e+01 2.349992e-02 1.532968e-01
4.814696e+01 2.346690e-02 1.531891e-01
4.814375e+01 2.264486e-02 1.504821e-01
4.814054e+01 2.222767e-02 1.490895e-01
4.813733e+01 2.214069e-02 1.487975e-01
4.813412e+01 2.216214e-02 1.488695e-01
4.813091e+01 2.217847e-02 1.489244e-01
4.812770e+01 2.212474e-02 1.487439e-01
4.812449e+01 2.220864e-02 1.490256e-01
4.812129e+01 2.217785e-02 1.489223e-01
4.811808e+01 2.208122e-02 1.485975e-01
